position,team_name,team_id,played_games,won,draw,lost,points,goals_for,goals_against,goal_difference,form,top_scorer,top_scorer_goals,top_scorer_assists,top_scorer_penalties,fetched_at,source,win_rate,points_per_game,attack_efficiency,defence_efficiency,pythagorean_expectation,form_score,points_zscore,points_vs_expected,performance_rank,pipeline_run_at,pipeline_version
1,Manchester City FC,65,2,2,0,0,6,6,2,4,,Erling Haaland,2.0,,,2026-09-05T02:22:11.375799,football-data.org,0.9999999995,2.9999999985,2.9999999985,0.9999999995,0.8999999999775001,,1.3502,0.6,1.0,2026-09-05T02:22:11.394824,1.0.0
2,Arsenal FC,57,2,2,0,0,6,4,0,4,,Bukayo Saka,2.0,,,2026-09-05T02:22:11.375799,football-data.org,0.9999999995,2.9999999985,1.999999999,0.0,0.9999999999375,,1.3502,0.0,1.0,2026-09-05T02:22:11.394824,1.0.0
3,Hull City AFC,322,2,2,0,0,6,3,0,3,,Semi Ajayi,1.0,,,2026-09-05T02:22:11.375799,football-data.org,0.9999999995,2.9999999985,1.49999999925,0.0,0.9999999998888889,,1.3502,0.0,1.0,2026-09-05T02:22:11.394824,1.0.0
4,Chelsea FC,61,2,2,0,0,6,7,5,2,,João Pedro,2.0,2.0,,2026-09-05T02:22:11.375799,football-data.org,0.9999999995,2.9999999985,3.49999999825,2.49999999875,0.662162162153214,,1.3502,2.03,1.0,2026-09-05T02:22:11.394824,1.0.0
5,Liverpool FC,64,3,1,2,0,5,6,4,2,,Alexander Isak,3.0,,,2026-09-05T02:22:11.375799,football-data.org,0.3333333332222222,1.6666666661111111,1.9999999993333333,1.3333333328888888,0.6923076922943787,,0.9075,-1.23,5.0,2026-09-05T02:22:11.394824,1.0.0
6,Brentford FC,402,2,1,1,0,4,4,1,3,,Keane Lewis-Potter,1.0,1.0,,2026-09-05T02:22:11.375799,football-data.org,0.49999999975,1.999999999,1.999999999,0.49999999975,0.941176470532872,,0.4648,-1.65,6.0,2026-09-05T02:22:11.394824,1.0.0
7,Newcastle United FC,67,2,1,1,0,4,4,2,2,,Anthony Elanga,2.0,,,2026-09-05T02:22:11.375799,football-data.org,0.49999999975,1.999999999,1.999999999,0.9999999995,0.79999999996,,0.4648,-0.8,6.0,2026-09-05T02:22:11.394824,1.0.0
8,Everton FC,62,2,1,1,0,4,3,1,2,,Kiernan Dewsbury Hall,1.0,,,2026-09-05T02:22:11.375799,football-data.org,0.49999999975,1.999999999,1.49999999925,0.49999999975,0.89999999991,,0.4648,-1.4,6.0,2026-09-05T02:22:11.394824,1.0.0
9,Leeds United FC,341,2,1,1,0,4,2,1,1,,Anton Stach,1.0,,,2026-09-05T02:22:11.375799,football-data.org,0.49999999975,1.999999999,0.9999999995,0.49999999975,0.79999999984,,0.4648,-0.8,6.0,2026-09-05T02:22:11.394824,1.0.0
10,Brighton & Hove Albion FC,397,2,1,0,1,3,7,4,3,,Jack Hinshelwood,2.0,,,2026-09-05T02:22:11.375799,football-data.org,0.49999999975,1.49999999925,3.49999999825,1.999999999,0.7538461538345562,,0.0221,-1.52,10.0,2026-09-05T02:22:11.394824,1.0.0
